subject,Username,Condition,1_code,1_notes,2_code,exclude?,2_notes,3_code,exclude?,3_notes,total score
129,7b617ea3,DMT-antiyoked-with-tutorial,1,Large bias against green in phase 2,0,N,,0,N,-,1
130,bf85af69,DMT-antiyoked-with-tutorial,2,Large bias towards red in phase 2,0,N,,0,N,-,2
131,f23633d1,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
132,ebbc26dc,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
133,8df6f7e3,DMT-with-tutorial,0,-,1,N,impossible RTs,1,N,"low RTs, consecutive blue",2
134,5d618a81,DMT-with-tutorial,0,-,0,N,,0,N,-,0
135,1aa8784d,DMT-with-tutorial,1,Large bias against blue in phase 2,0,N,,0,N,-,1
136,38816f92,DMT-with-tutorial,0,-,2,Y,impossible RTs,2,Y,low RTs,4
137,a8299b03,DMT-with-tutorial,0,-,0,N,,0,N,-,0
138,0395f3c1,DMT-with-tutorial,0,-,0,N,,0,N,-,0
139,745fb31c,DMT-with-tutorial,0,-,2,Y,,2,Y,bias for blue in p1 and green in p2,4
140,ce0b5f5e,DMT-with-tutorial,0,-,0,N,,0,N,-,0
141,5efdc4b6,DMT-with-tutorial,2,Large bias towards blue in phase 1,0,N,,0,N,-,2
142,3e6039a8,DMT-with-tutorial,0,-,0,N,,0,N,-,0
143,5e66e032,DMT-with-tutorial,0,-,0,N,,0,N,-,0
144,c981a504,DMT-with-tutorial,0,-,0,N,,0,N,-,0
145,42d17e61,DMT-with-tutorial,0,-,0,N,,0,N,-,0
146,bfe6856b,DMT-with-tutorial,0,-,0,N,,0,N,-,0
147,ea12bf09,DMT-with-tutorial,0,-,0,N,,0,N,-,0
148,0b1098b9,DMT-with-tutorial,0,-,0,N,,0,N,-,0
149,7345beaa,DMT-with-tutorial,0,-,0,N,,0,N,-,0
150,3fd2ff16,DMT-with-tutorial,0,-,0,N,,0,N,-,0
151,d41bb9f9,DMT-with-tutorial,0,-,0,N,,0,N,-,0
152,bebf0fc2,DMT-with-tutorial,0,-,2,Y,impossible RTs,2,Y,low RTs,4
153,a4d08a6b,DMT-with-tutorial,0,-,0,N,,0,N,-,0
154,3810bdf5,DMT-with-tutorial,0,-,0,N,,1,N,some low RTs,1
155,f3cdb906,DMT-with-tutorial,0,-,0,N,,0,N,-,0
156,1b93a070,DMT-with-tutorial,0,-,0,N,,0,N,-,0
157,d458e04f,DMT-with-tutorial,0,-,0,N,,0,N,-,0
158,fe02eb95,DMT-with-tutorial,0,-,0,N,,0,N,-,0
159,13f3b4a2,DMT-with-tutorial,0,-,0,N,,2,Y,low RTs,2
160,544e7bd1,DMT-with-tutorial,0,-,0,N,,0,N,-,0
161,0a7837fa,DMT-with-tutorial,0,-,0,N,,0,N,-,0
162,40e6f4fe,DMT-with-tutorial,0,-,0,N,,0,N,-,0
163,05b17f91,DMT-with-tutorial,0,-,0,N,,0,N,-,0
164,de656bcd,DMT-with-tutorial,0,-,0,N,,0,N,-,0
165,9dd3cf00,DMT-with-tutorial,0,-,1,N,bias against blue in phase 2,1,N,low amt. of blue in phase 2,2
166,3965d217,DMT-with-tutorial,0,-,0,N,,0,N,-,0
167,930d7693,DMT-with-tutorial,1,Large bias against blue in phase 2,2,Y,lots of NRs,2,Y,high amt. of NRs in phase 2,5
168,dee484a0,DMT-with-tutorial,0,-,0,N,,0,N,-,0
169,605151aa,DMT-with-tutorial,1,Large number of NRs,0,N,,0,N,-,1
170,c4e18d06,DMT-with-tutorial,0,-,0,N,,0,N,-,0
171,e107df94,DMT-with-tutorial,0,-,0,N,,0,N,-,0
172,a5dc3b01,DMT-with-tutorial,0,-,0,N,,0,N,-,0
173,6.30E+08,DMT-with-tutorial,0,-,0,N,,0,N,-,0
174,a476f53a,DMT-with-tutorial,0,-,0,N,,0,N,-,0
175,105dcf56,DMT-with-tutorial,0,-,2,Y,impossible RTs,2,Y,low RTs,4
176,e2390c62,DMT-with-tutorial,0,-,0,N,,0,N,-,0
177,28b1d0fd,DMT-with-tutorial,0,-,0,N,,0,N,-,0
178,3e4cdc65,DMT-with-tutorial,0,-,0,N,,0,N,-,0
179,a8ad4857,DMT-with-tutorial,1,Large bias against blue in phase 2,0,N,,0,N,-,1
180,476d2580,DMT-with-tutorial,0,-,0,N,,0,N,-,0
181,bca1ccee,DMT-with-tutorial,,,0,N,,0,N,-,0
182,54a4fcc0,DMT-with-tutorial,1,Bias against blue in phase 2,1,N,slight bias for blue in phase 2,1,N,bias for blue in phase 2,3
183,2183f466,DMT-with-tutorial,,,2,Y,impossible RTs,2,Y,low RTs,4
184,df232fb0,DMT-with-tutorial,1,Bias towards green in phase 2,2,Y,lots of NRs,2,Y,high amt. of NRs in phase 1,5
185,e5b8a38a,DMT-with-tutorial,1,Very low RTs,0,N,,0,N,-,1
186,4b44d42a,DMT-with-tutorial,2,Many NRs in Phase 1 and slight bias towards red in phase 1,0,N,,0,N,-,2
187,6e085622,DMT-with-tutorial,1,Large bias towards red in phase 2,2,Y,large bias towards red ,2,Y,bias for red in both phases,5
188,137a3eca,DMT-with-tutorial,,,0,N,,0,N,-,0
189,02422f45,DMT-with-tutorial,2,Large bias towards red in phase 1 and 2,1,N,impossible RTs,1,N,"low RTs, consecutive blue",4
190,b99612e6,DMT-with-tutorial,1,Bias against blue in phase 2,0,N,,0,N,-,1
191,e37bc655,DMT-with-tutorial,,,2,Y,large bias for blue in phase 2,2,Y,bias for blue in phase 2,4
192,6ee958ed,DMT-with-tutorial,,,0,N,,0,N,-,0
193,f34040e1,DMT-with-tutorial,2,Large bias towards blue in phase 2,0,N,,0,N,-,2
194,1824d471,DMT-with-tutorial,,,1,N,bias for blue,1,N,bias for blue in phase 2,2
195,77b0cf71,DMT-with-tutorial,,,2,Y,bias for red in phase 2,2,Y,bias for red in phase 2,4
196,97583168,DMT-with-tutorial,2,Large bias towards blue in phase 2,2,Y,bias for green in phase 2,2,Y,bias for green in phase 2,6
197,bbbbd198,DMT-with-tutorial,2,Large bias towards red in phase 2,1,N,few impossible RTs,1,N,some low RTs,4
198,934a9285,DMT-with-tutorial,1,Bias towards green in phase 2,2,Y,bias for red in phase 2,2,Y,consecutive red in phase 2,5
199,4a541d59,DMT-with-tutorial,2,Large bias against red in phase 2,0,N,,0,N,-,2
200,bcaec00f,DMT-with-tutorial,2,Large bias towards red in phase 2,0,N,,0,N,-,2
201,623f1f05,DMT-with-tutorial,,,0,N,,0,N,-,0
202,d190166d,DMT-with-tutorial,,,0,N,,0,N,-,0
203,bd08357e,DMT-with-tutorial,1,Lots of NR in Phase 1,0,N,,0,N,-,1
204,170a9c17,DMT-with-tutorial,,,0,N,,0,N,-,0
205,4418846b,DMT-with-tutorial,,,0,N,,0,N,-,0
